A1,A2,A3,A4,A5,B1,B2,B3,C1,C2,C3,C4,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15
47,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Apple IOS,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,None / Tiada asas,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Tidak pasti,In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami),Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,2,2,3,3,3,3,2,3,3,3,3,2,3,3,2
41,Female / Perempuan,Diploma,Swasta,"RM 2,500 ï¿½ï¿½ï¿½ï¿½",Yes / Ya,Apple IOS,Broadband,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan;Business/ Perniagaan,None / Tiada asas,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3
52,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Apple IOS,Wi-Fi,Education/Pembelajaran,None / Tiada asas,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Quiz / Kuiz,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
52,Female / Perempuan,Diploma,Swasta,Bawah RM 2500,Yes / Ya,Android,Hotspot,Communication/ Komunikasi;Business/ Perniagaan,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Quiz / Kuiz,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
46,Female / Perempuan,Spm,Surirumah,Tiada,Yes / Ya,Apple IOS,Wi-Fi,Communication/ Komunikasi,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
57,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi;Hotspot,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Tidak menggunakan Bahasa Arab dlm komunikasi,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Apabila ada masa terluang,Pada tempat dan masa yg sesuai,Apabila ada masa terluang,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3
47,Female / Perempuan,Degree,Swasta,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Apple IOS,Wi-Fi;Hotspot,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Tidak pernah menghadiri kelas bahasa Arab,Tidak pernah menghadiri kelas bahasa Arab,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3
55,Female / Perempuan,Master,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Apple IOS,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
51,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Apple IOS,Broadband,Communication/ Komunikasi,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Quiz / Kuiz,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
53,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan;Business/ Perniagaan,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
